week,control,treated,difference,normalised_difference
-8,1.3319093820044827,1.4167187000532766,0.08480931804879388,0.016469379998297784
-7,1.3862539225104065,1.4735679275439533,0.0873140050335468,0.018974066983050708
-6,1.4289782260646813,1.5206105487480022,0.09163232268332089,0.023292384632824792
-5,1.4634876721101504,1.5290005327650507,0.06551286065490025,-0.002827077395595845
-4,1.4520640409862313,1.5841230687266914,0.13205902774046008,0.06371908968996398
-3,1.4553900096061478,1.5279467234949389,0.07255671388879104,0.004216775838294939
-2,1.426486391290426,1.5028145977623868,0.07632820647196081,0.007988268421464717
-1,1.3630425872558438,1.43138252530634,0.0683399380504961,0.0
0,1.3111626641050271,1.7979323388385722,0.48676967473354504,0.41842973668304895
1,1.228172910662824,1.7865572722429408,0.5583843615801167,0.49004442352962063
2,1.2017303874479666,1.6784006393180608,0.47667025187009426,0.40833031381959817
3,1.1292942683317324,1.6624640383590836,0.5331697700273512,0.4648298319768551
4,1.1298094780659622,1.6454619072988812,0.515652429232919,0.4473124911824229
5,1.1522209414024975,1.6639062333510921,0.5116852919485946,0.4433453538980985
6,1.1686567403138008,1.6625279701651572,0.49387122985135634,0.42553129180086025
7,1.2328232468780018,1.7622653169952052,0.5294420701172033,0.46110213206670725
8,1.263289785462696,1.7791987213638785,0.5159089359011824,0.44756899785068627
