customer_id,segment
1,3
2,2
3,3
4,1
5,0
6,3
7,3
8,3
9,0
10,2
11,2
12,3
13,1
14,3
15,2
16,0
17,3
18,0
19,3
20,1
21,3
22,2
23,3
24,3
25,3
26,0
27,2
28,0
29,0
30,1
31,3
32,3
33,2
34,2
35,2
36,0
37,0
38,2
39,0
40,1
41,2
42,3
43,1
44,2
45,3
46,3
47,2
48,0
49,1
50,0
51,0
52,0
53,3
54,3
55,1
56,3
57,2
58,1
59,0
60,0
61,1
62,2
63,1
64,3
65,3
66,1
67,1
68,1
69,0
70,2
71,0
72,2
73,1
74,0
75,0
76,0
77,0
78,1
79,1
80,3
81,3
82,2
83,3
84,0
85,0
86,0
87,3
88,2
89,0
90,2
91,0
92,1
93,2
94,2
95,2
96,1
97,2
98,0
99,0
100,3
101,3
102,3
103,0
104,3
105,3
106,1
107,2
108,0
109,0
110,3
111,2
112,0
113,2
114,1
115,0
116,3
117,3
118,1
119,2
120,1
121,3
122,1
123,0
124,2
125,0
126,2
127,2
128,0
129,0
130,1
131,0
132,3
133,3
134,2
135,1
136,0
137,3
138,2
139,3
140,0
141,2
142,2
143,3
144,1
145,2
146,0
147,2
148,3
149,2
150,0
151,3
152,1
153,1
154,1
155,0
156,3
157,0
158,1
159,3
160,1
161,0
162,1
163,0
164,0
165,1
166,2
167,3
168,3
169,2
170,3
171,0
172,2
173,0
174,3
175,0
176,0
177,2
178,3
179,3
180,3
181,3
182,3
183,2
184,2
185,3
186,1
187,2
188,0
189,3
190,0
191,3
192,0
193,0
194,3
195,0
196,0
197,1
198,3
199,0
200,2
201,3
202,3
203,2
204,0
205,0
206,0
207,0
208,1
209,0
210,2
211,1
212,3
213,0
214,1
215,1
216,3
217,0
218,0
219,3
220,2
221,2
222,2
223,1
224,3
225,0
226,3
227,0
228,1
229,3
230,0
231,0
232,2
233,3
234,1
235,3
236,3
237,2
238,3
239,0
240,0
241,3
242,3
243,0
244,1
245,1
246,3
247,3
248,2
249,2
250,2
251,1
252,3
253,2
254,0
255,0
256,3
257,3
258,0
259,0
260,1
261,0
262,3
263,2
264,0
265,3
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,1
276,2
277,2
278,2
279,3
280,3
281,0
282,0
283,0
284,0
285,1
286,2
287,0
288,2
289,1
290,0
291,3
292,0
293,3
294,0
295,3
296,3
297,3
298,3
299,3
300,1
301,3
302,0
303,3
304,2
305,3
306,2
307,2
308,1
309,0
310,0
311,2
312,2
313,0
314,2
315,2
316,2
317,2
318,3
319,0
320,3
321,3
322,2
323,2
324,1
325,3
326,1
327,3
328,1
329,1
330,0
331,3
332,0
333,1
334,3
335,0
336,1
337,0
338,1
339,0
340,1
341,0
342,3
343,3
344,1
345,3
346,3
347,3
348,0
349,1
350,0
351,1
352,0
353,1
354,1
355,2
356,1
357,3
358,3
359,2
360,1
361,3
362,0
363,0
364,0
365,1
366,2
367,3
368,1
369,2
370,3
371,3
372,0
373,2
374,2
375,0
376,0
377,3
378,2
379,2
380,3
381,3
382,3
383,3
384,2
385,2
386,3
387,1
388,3
389,0
390,3
391,2
392,0
393,1
394,3
395,0
396,2
397,3
398,0
399,2
400,2
401,2
402,3
403,3
404,0
405,3
406,3
407,0
408,3
409,0
410,3
411,1
412,1
413,0
